index,address,type,state
1,8369,signal,15
2,8370,signal,15
3,8372,signal,15
4,8375,signal,15
5,8376,signal,15
6,8377,signal,15
7,8378,signal,1
8,8379,signal,15
9,8380,signal,1
10,8381,switch,15
11,8385,signal,1
12,8386,signal,15
13,8387,signal,1
14,8388,signal,1
15,8391,signal,1
16,8392,signal,15
17,8393,signal,1
18,8394,signal,1
19,8396,switch,15
20,8399,signal,15
21,8400,signal,1
22,8401,signal,1
23,8402,signal,1
24,8403,signal,7
25,8404,signal,7
26,8405,signal,7
27,8406,signal,7
28,8407,signal,7
